review,rv,rvYear,rvUnits,startYear,studyLength,sampleDepth,controlValue,trtValue,percentChange,norm,Duration of Study,Number of Species,Type of Species,Soil Sample Depth,doi,title,authors,authors_abbrev,pubyear,journal,volume_issue,pages
Cover Crops,total carbon,1;2,Mg/ha,2011,2,0-60 cm,1.01,1.01,0,2,2 years,Single species,Non-legume,0-60 cm,10.1016/j.agee.2015.10.014,"Using cover crops in headlands of organic grain farms: Effects on soil properties, weeds and crop yields","Welch, R.Y., Behnke, G.D., Davis, A.S., Masiunas, J. & Villamil, M.B.",Welch et al.,2016,"Agriculture, Ecosystems and Environment",216,322-332
Cover Crops,total carbon,1;2,Mg/ha,2011,2,0-60 cm,1.09,1.09,0,2,2 years,Single species,Non-legume,0-60 cm,10.1016/j.agee.2015.10.014,"Using cover crops in headlands of organic grain farms: Effects on soil properties, weeds and crop yields","Welch, R.Y., Behnke, G.D., Davis, A.S., Masiunas, J. & Villamil, M.B.",Welch et al.,2016,"Agriculture, Ecosystems and Environment",216,322-332
Cover Crops,total carbon,1;2,Mg/ha,2011,2,0-60 cm,1.09,1.09,0,2,2 years,Single species,Non-legume,0-60 cm,10.1016/j.agee.2015.10.014,"Using cover crops in headlands of organic grain farms: Effects on soil properties, weeds and crop yields","Welch, R.Y., Behnke, G.D., Davis, A.S., Masiunas, J. & Villamil, M.B.",Welch et al.,2016,"Agriculture, Ecosystems and Environment",216,322-332
Cover Crops,total carbon,1;2,Mg/ha,2011,2,0-60 cm,25.3,24.2,-4.35,2,2 years,Single species,Non-legume,0-60 cm,10.1016/j.agee.2015.10.014,"Using cover crops in headlands of organic grain farms: Effects on soil properties, weeds and crop yields","Welch, R.Y., Behnke, G.D., Davis, A.S., Masiunas, J. & Villamil, M.B.",Welch et al.,2016,"Agriculture, Ecosystems and Environment",216,322-332
Cover Crops,total carbon,1;2,Mg/ha,2011,2,0-60 cm,26.5,25.3,-4.53,2,2 years,Single species,Non-legume,0-60 cm,10.1016/j.agee.2015.10.014,"Using cover crops in headlands of organic grain farms: Effects on soil properties, weeds and crop yields","Welch, R.Y., Behnke, G.D., Davis, A.S., Masiunas, J. & Villamil, M.B.",Welch et al.,2016,"Agriculture, Ecosystems and Environment",216,322-332
Cover Crops,total carbon,1;2,Mg/ha,2011,2,0-60 cm,27.6,26.3,-4.71,2,2 years,Single species,Non-legume,0-60 cm,10.1016/j.agee.2015.10.014,"Using cover crops in headlands of organic grain farms: Effects on soil properties, weeds and crop yields","Welch, R.Y., Behnke, G.D., Davis, A.S., Masiunas, J. & Villamil, M.B.",Welch et al.,2016,"Agriculture, Ecosystems and Environment",216,322-332
Cover Crops,"soil organic carbon (SOC) in fall following cover crop, 0-15cm",1,g/kg,2008,1,0-30 cm,36.4,31.1,-14.56,2,1 year,Single species,Non-legume,0-30 cm,10.2489/jswc.68.6.438,On-farm environmental assessment of corn silage production systems receiving liquid dairy manure,"Krueger, E.S., Baker, J.M., Ochsner, T.E., Wente, C.D., Feyereisen, G.W. & Reicosky, D.C.",Krueger et al.,2013,Journal of Soil and Water Conservation,68(6),438-449
Cover Crops,soil organic carbon 0-30 cm depth (spring),1,g/kg soil,2003,2,0-30 cm,15.6,15,-3.85,2,2 years,Single species,Non-legume,0-30 cm,10.2134/jeq2005.0183,Nitrous oxide emissions from corn-soybean systems in the Midwest,"Parkin, T.B., & Kaspar, T.C.",Parkin & Kaspar,2006,Journal of Environmental Quality,35(4),1496-1506
Cover Crops,soil organic carbon (0-5 cm depth),1;2;3,g/kg soil,2014,3,0-30 cm,26.9,27.3,1.49,2,3 years,Single species,Non-legume,0-30 cm,10.1007/s12155-017-9858-z,Can cover crop use allow increased levels of corn residue removal for biofuel in irrigated and rainfed systems?,"Ruis, S.J., Blanco-Canqui, H., Jasa, P.J., Ferguson, R.B., & Slater, G.",Ruis et al.,2017,Bioenergy Research,10,992-1004
Cover Crops,soil organic carbon (0-5 cm depth),1;2;3,g/kg soil,2014,3,0-30 cm,23.9,26,8.79,2,3 years,Single species,Non-legume,0-30 cm,10.1007/s12155-017-9858-z,Can cover crop use allow increased levels of corn residue removal for biofuel in irrigated and rainfed systems?,"Ruis, S.J., Blanco-Canqui, H., Jasa, P.J., Ferguson, R.B., & Slater, G.",Ruis et al.,2017,Bioenergy Research,10,992-1004
Cover Crops,soil organic carbon (0-5 cm depth),1;2;3,g/kg soil,2014,3,0-30 cm,26.9,28.7,6.69,2,3 years,Single species,Non-legume,0-30 cm,10.1007/s12155-017-9858-z,Can cover crop use allow increased levels of corn residue removal for biofuel in irrigated and rainfed systems?,"Ruis, S.J., Blanco-Canqui, H., Jasa, P.J., Ferguson, R.B., & Slater, G.",Ruis et al.,2017,Bioenergy Research,10,992-1004
Cover Crops,soil organic carbon (0-5 cm depth),1;2;3,g/kg soil,2014,3,0-30 cm,23.9,25.4,6.28,2,3 years,Single species,Non-legume,0-30 cm,10.1007/s12155-017-9858-z,Can cover crop use allow increased levels of corn residue removal for biofuel in irrigated and rainfed systems?,"Ruis, S.J., Blanco-Canqui, H., Jasa, P.J., Ferguson, R.B., & Slater, G.",Ruis et al.,2017,Bioenergy Research,10,992-1004
Cover Crops,organic carbon (0-15 cm),1,g/kg soil,2013,1,0-30 cm,24.2,22,-9.09,2,1 year,Single species,Non-legume,0-30 cm,10.1097/SS.0000000000000187,Short-term nitrogen mineralization potential in soils of biofuel cropping systems,"Meng, Y., Chua-Ona, T., & Thompson, M.L.",Meng et al.,2016,Soil Science,181(11/12),503-512
Cover Crops,organic carbon (0-15 cm),1,g/kg soil,2013,1,0-30 cm,0.2,0.2,0,2,1 year,Single species,Non-legume,0-30 cm,10.1097/SS.0000000000000187,Short-term nitrogen mineralization potential in soils of biofuel cropping systems,"Meng, Y., Chua-Ona, T., & Thompson, M.L.",Meng et al.,2016,Soil Science,181(11/12),503-512
Cover Crops,soil carbon concentration (0-5 cm depth),1;2;3;4;5;6;7,g carbon/g soil,1996,7,0-30 cm,0.0389,0.0386,-0.77,2,More than 4 years,Single species,Non-legume,0-30 cm,10.2136/sssaj2005.0095,Examining changes in soil organic carbon with oat and rye cover crops using terrain covariates,"Kaspar, T.C., Parkin, T.B., Jaynes, D.B., Cambardella, C.A., Meek, D.W., & Jung, Y.S.",Kaspar et al.,2006,Soil Science Society of America Journal,70(4),1168-1177
Cover Crops,soil carbon concentration (0-5 cm depth),1;2;3;4;5;6;7,g carbon/g soil,1996,7,0-30 cm,0.0389,0.0386,-0.77,2,More than 4 years,Single species,Non-legume,0-30 cm,10.2136/sssaj2005.0095,Examining changes in soil organic carbon with oat and rye cover crops using terrain covariates,"Kaspar, T.C., Parkin, T.B., Jaynes, D.B., Cambardella, C.A., Meek, D.W., & Jung, Y.S.",Kaspar et al.,2006,Soil Science Society of America Journal,70(4),1168-1177
Cover Crops,particulate organic carbon,1;2,kg/m^3^,2006,2,0-30 cm,2.87,3.49,21.6,2,2 years,Single species,Non-legume,0-30 cm,10.2134/agronj2009.0144,Integrating winter annual forages into a no-till corn silage system,"Stefani Faé, G., Sulc, R.M., Barker, D.J., Dick, R.P., Eastridge, M.L., & Lorenz, N.",Stefani Fae et al.,2009,Agronomy Journal,101,1286-1296
Cover Crops,"soil organic carbon (SOC), spring sample (0-60 cm depth)",1,Mg/ha,2012,1,0-60 cm,25.2,30.27,20.12,2,1 year,Single species,Non-legume,0-60 cm,10.1007/s12665-014-3353-z,Soil quality evaluation under different land management practices,"de Paul Obade, V. & Lal, R.",de Paul Obade & Lal,2014,Journal of Environmental Earth Sciences,72,4531-4549
Cover Crops,total carbon,1;2,Mg/ha,2010,2,0-60 cm,23.58,23.99,1.74,2,2 years,Single species,Non-legume,0-60 cm,10.2134/agronj13.0370,Short-term effects of cover crops and compaction on soil properties and soybean production in Illinois,"Acuna, J.C., & Villamil, M.B.",Acuna & Villamil,2014,Agronomy Journal,106,860-870
Cover Crops,total carbon,1;2,Mg/ha,2014,2,0-60 cm,41.88,40.61,-3.03,2,2 years,Single species,Rotation of Cover Crops,0-60 cm,10.2134/agronj2016.10.0613,Tillage and cover cropping effects on soil properties and crop production in Illinois,"Dozier, I.A., Behnke, G.D., Davis, A.S., Nafziger, E.D., & Villamil, M.B.",Dozier et al.,2017,Agronomy Journal,109,1261-1270
Cover Crops,total carbon,1;2,Mg/ha,2014,2,0-60 cm,41.88,42.21,0.79,2,2 years,Single species,Rotation of Cover Crops,0-60 cm,10.2134/agronj2016.10.0613,Tillage and cover cropping effects on soil properties and crop production in Illinois,"Dozier, I.A., Behnke, G.D., Davis, A.S., Nafziger, E.D., & Villamil, M.B.",Dozier et al.,2017,Agronomy Journal,109,1261-1270
Cover Crops,total carbon,1;2,Mg/ha,2014,2,0-60 cm,41.88,40.26,-3.87,2,2 years,Single species,Non-legume,0-60 cm,10.2134/agronj2016.10.0613,Tillage and cover cropping effects on soil properties and crop production in Illinois,"Dozier, I.A., Behnke, G.D., Davis, A.S., Nafziger, E.D., & Villamil, M.B.",Dozier et al.,2017,Agronomy Journal,109,1261-1270
Cover Crops,total carbon,1;2,Mg/ha,2014,2,0-60 cm,41.88,41.27,-1.46,2,2 years,Single species,Non-legume,0-60 cm,10.2134/agronj2016.10.0613,Tillage and cover cropping effects on soil properties and crop production in Illinois,"Dozier, I.A., Behnke, G.D., Davis, A.S., Nafziger, E.D., & Villamil, M.B.",Dozier et al.,2017,Agronomy Journal,109,1261-1270
Cover Crops,total carbon,1;2,Mg/ha,2014,2,0-60 cm,41.88,41.72,-0.38,2,2 years,Single species,Non-legume,0-60 cm,10.2134/agronj2016.10.0613,Tillage and cover cropping effects on soil properties and crop production in Illinois,"Dozier, I.A., Behnke, G.D., Davis, A.S., Nafziger, E.D., & Villamil, M.B.",Dozier et al.,2017,Agronomy Journal,109,1261-1270
Cover Crops,soil organic carbon (0-75 cm),3,Mt/ha/layer/1 m/1 m,2001,8,0-100 cm,38.7,40.2,3.88,2,More than 4 years,Single species,Rotation of Cover Crops,0-100 cm,10.1097/SS.0b013e3181cf7959,Cover crop diversity synthesis,"Olson, K.R., Ebelhar, S.A. & Lang, J.M.",Olson et al.,2010,Soil Science,175(2),89-98
Cover Crops,soil organic carbon (0-75 cm),3,Mt/ha/layer/1 m/1 m,2001,8,0-100 cm,45.3,46.9,3.53,2,More than 4 years,Single species,Rotation of Cover Crops,0-100 cm,10.1097/SS.0b013e3181cf7959,Cover crop diversity synthesis,"Olson, K.R., Ebelhar, S.A. & Lang, J.M.",Olson et al.,2010,Soil Science,175(2),89-98
Cover Crops,soil organic carbon (0-75 cm),3,Mt/ha/layer/1 m/1 m,2001,8,0-100 cm,47.6,50.1,5.25,2,More than 4 years,Single species,Rotation of Cover Crops,0-100 cm,10.1097/SS.0b013e3181cf7959,Cover crop diversity synthesis,"Olson, K.R., Ebelhar, S.A. & Lang, J.M.",Olson et al.,2010,Soil Science,175(2),89-98
Cover Crops,soil organic carbon (0-75 cm),5,Mt/ha/layer/1 m/1 m,2001,8,0-100 cm,35.1,36.8,4.84,2,More than 4 years,Single species,Rotation of Cover Crops,0-100 cm,10.1097/SS.0b013e3181cf7959,Cover crop diversity synthesis,"Olson, K.R., Ebelhar, S.A. & Lang, J.M.",Olson et al.,2010,Soil Science,175(2),89-98
Cover Crops,soil organic carbon (0-75 cm),5,Mt/ha/layer/1 m/1 m,2001,8,0-100 cm,36.6,39.8,8.74,2,More than 4 years,Single species,Rotation of Cover Crops,0-100 cm,10.1097/SS.0b013e3181cf7959,Cover crop diversity synthesis,"Olson, K.R., Ebelhar, S.A. & Lang, J.M.",Olson et al.,2010,Soil Science,175(2),89-98
Cover Crops,soil organic carbon (0-75 cm),5,Mt/ha/layer/1 m/1 m,2001,8,0-100 cm,43.7,47,7.55,2,More than 4 years,Single species,Rotation of Cover Crops,0-100 cm,10.1097/SS.0b013e3181cf7959,Cover crop diversity synthesis,"Olson, K.R., Ebelhar, S.A. & Lang, J.M.",Olson et al.,2010,Soil Science,175(2),89-98
Cover Crops,soil organic carbon (0-75 cm),8,Mt/ha/layer/1 m/1 m,2001,8,0-100 cm,36.2,36.4,0.55,2,More than 4 years,Single species,Rotation of Cover Crops,0-100 cm,10.1097/SS.0b013e3181cf7959,Cover crop diversity synthesis,"Olson, K.R., Ebelhar, S.A. & Lang, J.M.",Olson et al.,2010,Soil Science,175(2),89-98
Cover Crops,soil organic carbon (0-75 cm),8,Mt/ha/layer/1 m/1 m,2001,8,0-100 cm,36.8,38.5,4.62,2,More than 4 years,Single species,Rotation of Cover Crops,0-100 cm,10.1097/SS.0b013e3181cf7959,Cover crop diversity synthesis,"Olson, K.R., Ebelhar, S.A. & Lang, J.M.",Olson et al.,2010,Soil Science,175(2),89-98
Cover Crops,soil organic carbon (0-75 cm),8,Mt/ha/layer/1 m/1 m,2001,8,0-100 cm,45.3,45.9,1.32,2,More than 4 years,Single species,Rotation of Cover Crops,0-100 cm,10.1097/SS.0b013e3181cf7959,Cover crop diversity synthesis,"Olson, K.R., Ebelhar, S.A. & Lang, J.M.",Olson et al.,2010,Soil Science,175(2),89-98
Cover Crops,soil organic carbon (0-15 cm),3,Mt/ha/layer/1 m/1 m,2001,8,0-30 cm,18.8,21,11.7,2,More than 4 years,Single species,Rotation of Cover Crops,0-30 cm,10.1097/SS.0b013e3181cf7959,Cover crop diversity synthesis,"Olson, K.R., Ebelhar, S.A. & Lang, J.M.",Olson et al.,2010,Soil Science,175(2),89-98
Cover Crops,soil organic carbon (0-15 cm),3,Mt/ha/layer/1 m/1 m,2001,8,0-30 cm,25.1,25.3,0.8,2,More than 4 years,Single species,Rotation of Cover Crops,0-30 cm,10.1097/SS.0b013e3181cf7959,Cover crop diversity synthesis,"Olson, K.R., Ebelhar, S.A. & Lang, J.M.",Olson et al.,2010,Soil Science,175(2),89-98
Cover Crops,soil organic carbon (0-15 cm),3,Mt/ha/layer/1 m/1 m,2001,8,0-30 cm,29.7,30.2,1.68,2,More than 4 years,Single species,Rotation of Cover Crops,0-30 cm,10.1097/SS.0b013e3181cf7959,Cover crop diversity synthesis,"Olson, K.R., Ebelhar, S.A. & Lang, J.M.",Olson et al.,2010,Soil Science,175(2),89-98
Cover Crops,soil organic carbon (0-15 cm),5,Mt/ha/layer/1 m/1 m,2001,8,0-30 cm,17.2,18.1,5.23,2,More than 4 years,Single species,Rotation of Cover Crops,0-30 cm,10.1097/SS.0b013e3181cf7959,Cover crop diversity synthesis,"Olson, K.R., Ebelhar, S.A. & Lang, J.M.",Olson et al.,2010,Soil Science,175(2),89-98
Cover Crops,soil organic carbon (0-15 cm),5,Mt/ha/layer/1 m/1 m,2001,8,0-30 cm,18.1,21.8,20.44,2,More than 4 years,Single species,Rotation of Cover Crops,0-30 cm,10.1097/SS.0b013e3181cf7959,Cover crop diversity synthesis,"Olson, K.R., Ebelhar, S.A. & Lang, J.M.",Olson et al.,2010,Soil Science,175(2),89-98
Cover Crops,soil organic carbon (0-15 cm),5,Mt/ha/layer/1 m/1 m,2001,8,0-30 cm,24.9,26.5,6.43,2,More than 4 years,Single species,Rotation of Cover Crops,0-30 cm,10.1097/SS.0b013e3181cf7959,Cover crop diversity synthesis,"Olson, K.R., Ebelhar, S.A. & Lang, J.M.",Olson et al.,2010,Soil Science,175(2),89-98
Cover Crops,soil organic carbon (0-15 cm),8,Mt/ha/layer/1 m/1 m,2001,8,0-30 cm,17.3,17,-1.73,2,More than 4 years,Single species,Rotation of Cover Crops,0-30 cm,10.1097/SS.0b013e3181cf7959,Cover crop diversity synthesis,"Olson, K.R., Ebelhar, S.A. & Lang, J.M.",Olson et al.,2010,Soil Science,175(2),89-98
Cover Crops,soil organic carbon (0-15 cm),8,Mt/ha/layer/1 m/1 m,2001,8,0-30 cm,17.7,20.5,15.82,2,More than 4 years,Single species,Rotation of Cover Crops,0-30 cm,10.1097/SS.0b013e3181cf7959,Cover crop diversity synthesis,"Olson, K.R., Ebelhar, S.A. & Lang, J.M.",Olson et al.,2010,Soil Science,175(2),89-98
Cover Crops,soil organic carbon (0-15 cm),8,Mt/ha/layer/1 m/1 m,2001,8,0-30 cm,25.2,24.5,-2.78,2,More than 4 years,Single species,Rotation of Cover Crops,0-30 cm,10.1097/SS.0b013e3181cf7959,Cover crop diversity synthesis,"Olson, K.R., Ebelhar, S.A. & Lang, J.M.",Olson et al.,2010,Soil Science,175(2),89-98
Cover Crops,soil organic carbon (15-75 cm),3,Mt/ha/layer/1 m/1 m,2001,8,0-60 cm,19.9,19.2,-3.52,2,More than 4 years,Single species,Rotation of Cover Crops,0-60 cm,10.1097/SS.0b013e3181cf7959,Cover crop diversity synthesis,"Olson, K.R., Ebelhar, S.A. & Lang, J.M.",Olson et al.,2010,Soil Science,175(2),89-98
Cover Crops,soil organic carbon (15-75 cm),3,Mt/ha/layer/1 m/1 m,2001,8,0-60 cm,20.2,21.6,6.93,2,More than 4 years,Single species,Rotation of Cover Crops,0-60 cm,10.1097/SS.0b013e3181cf7959,Cover crop diversity synthesis,"Olson, K.R., Ebelhar, S.A. & Lang, J.M.",Olson et al.,2010,Soil Science,175(2),89-98
Cover Crops,soil organic carbon (15-75 cm),3,Mt/ha/layer/1 m/1 m,2001,8,0-60 cm,17.9,19.9,11.17,2,More than 4 years,Single species,Rotation of Cover Crops,0-60 cm,10.1097/SS.0b013e3181cf7959,Cover crop diversity synthesis,"Olson, K.R., Ebelhar, S.A. & Lang, J.M.",Olson et al.,2010,Soil Science,175(2),89-98
Cover Crops,soil organic carbon (15-75 cm),5,Mt/ha/layer/1 m/1 m,2001,8,0-60 cm,17.9,18.7,4.47,2,More than 4 years,Single species,Rotation of Cover Crops,0-60 cm,10.1097/SS.0b013e3181cf7959,Cover crop diversity synthesis,"Olson, K.R., Ebelhar, S.A. & Lang, J.M.",Olson et al.,2010,Soil Science,175(2),89-98
Cover Crops,soil organic carbon (15-75 cm),5,Mt/ha/layer/1 m/1 m,2001,8,0-60 cm,16.8,17.9,6.55,2,More than 4 years,Single species,Rotation of Cover Crops,0-60 cm,10.1097/SS.0b013e3181cf7959,Cover crop diversity synthesis,"Olson, K.R., Ebelhar, S.A. & Lang, J.M.",Olson et al.,2010,Soil Science,175(2),89-98
Cover Crops,soil organic carbon (15-75 cm),5,Mt/ha/layer/1 m/1 m,2001,8,0-60 cm,18.8,20.5,9.04,2,More than 4 years,Single species,Rotation of Cover Crops,0-60 cm,10.1097/SS.0b013e3181cf7959,Cover crop diversity synthesis,"Olson, K.R., Ebelhar, S.A. & Lang, J.M.",Olson et al.,2010,Soil Science,175(2),89-98
Cover Crops,soil organic carbon (15-75 cm),8,Mt/ha/layer/1 m/1 m,2001,8,0-60 cm,18.9,19.4,2.65,2,More than 4 years,Single species,Rotation of Cover Crops,0-60 cm,10.1097/SS.0b013e3181cf7959,Cover crop diversity synthesis,"Olson, K.R., Ebelhar, S.A. & Lang, J.M.",Olson et al.,2010,Soil Science,175(2),89-98
Cover Crops,soil organic carbon (15-75 cm),8,Mt/ha/layer/1 m/1 m,2001,8,0-60 cm,19.1,18,-5.76,2,More than 4 years,Single species,Rotation of Cover Crops,0-60 cm,10.1097/SS.0b013e3181cf7959,Cover crop diversity synthesis,"Olson, K.R., Ebelhar, S.A. & Lang, J.M.",Olson et al.,2010,Soil Science,175(2),89-98
Cover Crops,soil organic carbon (15-75 cm),8,Mt/ha/layer/1 m/1 m,2001,8,0-60 cm,20.1,21,4.48,2,More than 4 years,Single species,Rotation of Cover Crops,0-60 cm,10.1097/SS.0b013e3181cf7959,Cover crop diversity synthesis,"Olson, K.R., Ebelhar, S.A. & Lang, J.M.",Olson et al.,2010,Soil Science,175(2),89-98
Cover Crops,soil organic carbon in topsoil,1;2;3;4;5;6;7;8,Mt/ha/yr,2001,8,0-30 cm,0.5,0.4,-20,2,More than 4 years,Single species,Rotation of Cover Crops,0-30 cm,10.1097/SS.0b013e3181cf7959,Cover crop diversity synthesis,"Olson, K.R., Ebelhar, S.A. & Lang, J.M.",Olson et al.,2010,Soil Science,175(2),89-98
Cover Crops,soil organic carbon in topsoil,1;2;3;4;5;6;7;8,Mt/ha/yr,2001,8,0-30 cm,0.37,0.3,-18.92,2,More than 4 years,Single species,Rotation of Cover Crops,0-30 cm,10.1097/SS.0b013e3181cf7959,Cover crop diversity synthesis,"Olson, K.R., Ebelhar, S.A. & Lang, J.M.",Olson et al.,2010,Soil Science,175(2),89-98
Cover Crops,soil organic carbon in topsoil,1;2;3;4;5;6;7;8,Mt/ha/yr,2001,8,0-30 cm,0.13,0.1,-23.08,2,More than 4 years,Single species,Rotation of Cover Crops,0-30 cm,10.1097/SS.0b013e3181cf7959,Cover crop diversity synthesis,"Olson, K.R., Ebelhar, S.A. & Lang, J.M.",Olson et al.,2010,Soil Science,175(2),89-98
Cover Crops,soil organic carbon in soybean (0-5 cm soil depth),1,g/kg,2008,4,0-30 cm,27.3,28.5,4.4,2,4 years,Single species,Rotation of Cover Crops,0-30 cm,10.2136/sssaj2014.10.0399,Soil response to corn residue removal and cover crops in eastern South Dakota,"Wegner, B.R., Kumar, S., Osborne, S.L., Schumacher, T.E., Vahyala, I.E., & Eynard, A.",Wegner et al.,2015,Soil Science Society of America Journal,79,1179-1187
Cover Crops,soil organic carbon in soybean (0-5 cm soil depth),2,g/kg,2008,4,0-30 cm,27,25.4,-5.93,2,4 years,Single species,Rotation of Cover Crops,0-30 cm,10.2136/sssaj2014.10.0399,Soil response to corn residue removal and cover crops in eastern South Dakota,"Wegner, B.R., Kumar, S., Osborne, S.L., Schumacher, T.E., Vahyala, I.E., & Eynard, A.",Wegner et al.,2015,Soil Science Society of America Journal,79,1179-1187
Cover Crops,soil organic carbon in soybean (0-5 cm soil depth),3,g/kg,2008,4,0-30 cm,23.7,28.5,20.25,2,4 years,Single species,Rotation of Cover Crops,0-30 cm,10.2136/sssaj2014.10.0399,Soil response to corn residue removal and cover crops in eastern South Dakota,"Wegner, B.R., Kumar, S., Osborne, S.L., Schumacher, T.E., Vahyala, I.E., & Eynard, A.",Wegner et al.,2015,Soil Science Society of America Journal,79,1179-1187
Cover Crops,soil organic carbon in soybean (0-5 cm soil depth),4,g/kg,2008,4,0-30 cm,27,27,0,2,4 years,Single species,Rotation of Cover Crops,0-30 cm,10.2136/sssaj2014.10.0399,Soil response to corn residue removal and cover crops in eastern South Dakota,"Wegner, B.R., Kumar, S., Osborne, S.L., Schumacher, T.E., Vahyala, I.E., & Eynard, A.",Wegner et al.,2015,Soil Science Society of America Journal,79,1179-1187
Cover Crops,soil organic carbon in corn (0-5 cm soil depth),1,g/kg,2008,4,0-30 cm,25.3,24.5,-3.16,2,4 years,Single species,Rotation of Cover Crops,0-30 cm,10.2136/sssaj2014.10.0399,Soil response to corn residue removal and cover crops in eastern South Dakota,"Wegner, B.R., Kumar, S., Osborne, S.L., Schumacher, T.E., Vahyala, I.E., & Eynard, A.",Wegner et al.,2015,Soil Science Society of America Journal,79,1179-1187
Cover Crops,soil organic carbon in soybean (0-5 cm soil depth),2,g/kg,2008,4,0-30 cm,28.2,29,2.84,2,4 years,Single species,Rotation of Cover Crops,0-30 cm,10.2136/sssaj2014.10.0399,Soil response to corn residue removal and cover crops in eastern South Dakota,"Wegner, B.R., Kumar, S., Osborne, S.L., Schumacher, T.E., Vahyala, I.E., & Eynard, A.",Wegner et al.,2015,Soil Science Society of America Journal,79,1179-1187
Cover Crops,soil organic carbon in soybean (0-5 cm soil depth),3,g/kg,2008,4,0-30 cm,25.1,25,-0.4,2,4 years,Single species,Rotation of Cover Crops,0-30 cm,10.2136/sssaj2014.10.0399,Soil response to corn residue removal and cover crops in eastern South Dakota,"Wegner, B.R., Kumar, S., Osborne, S.L., Schumacher, T.E., Vahyala, I.E., & Eynard, A.",Wegner et al.,2015,Soil Science Society of America Journal,79,1179-1187
Cover Crops,soil organic carbon in soybean (0-5 cm soil depth),4,g/kg,2008,4,0-30 cm,29,29,0,2,4 years,Single species,Rotation of Cover Crops,0-30 cm,10.2136/sssaj2014.10.0399,Soil response to corn residue removal and cover crops in eastern South Dakota,"Wegner, B.R., Kumar, S., Osborne, S.L., Schumacher, T.E., Vahyala, I.E., & Eynard, A.",Wegner et al.,2015,Soil Science Society of America Journal,79,1179-1187
Cover Crops,soil organic carbon in soybean (5-15 cm soil depth),1,g/kg,2008,4,0-30 cm,24,24,0,2,4 years,Single species,Rotation of Cover Crops,0-30 cm,10.2136/sssaj2014.10.0399,Soil response to corn residue removal and cover crops in eastern South Dakota,"Wegner, B.R., Kumar, S., Osborne, S.L., Schumacher, T.E., Vahyala, I.E., & Eynard, A.",Wegner et al.,2015,Soil Science Society of America Journal,79,1179-1187
