review,rv,rvYear,rvUnits,startYear,studyLength,sampleDepth,controlValue,trtValue,percentChange,norm,Duration of Study,Number of Species,Type of Species,Soil Sample Depth,doi,title,authors,authors_abbrev,pubyear,journal,volume_issue,pages
Cover Crops,soil organic carbon in soybean (5-15 cm soil depth),2,g/kg,2008,4,0-30 cm,21.2,21,-0.94,2,4 years,Single species,Rotation of Cover Crops,0-30 cm,10.2136/sssaj2014.10.0399,Soil response to corn residue removal and cover crops in eastern South Dakota,"Wegner, B.R., Kumar, S., Osborne, S.L., Schumacher, T.E., Vahyala, I.E., & Eynard, A.",Wegner et al.,2015,Soil Science Society of America Journal,79,1179-1187
Cover Crops,soil organic carbon in soybean (5-15 cm soil depth),3,g/kg,2008,4,0-30 cm,23.1,23.3,0.87,2,4 years,Single species,Rotation of Cover Crops,0-30 cm,10.2136/sssaj2014.10.0399,Soil response to corn residue removal and cover crops in eastern South Dakota,"Wegner, B.R., Kumar, S., Osborne, S.L., Schumacher, T.E., Vahyala, I.E., & Eynard, A.",Wegner et al.,2015,Soil Science Society of America Journal,79,1179-1187
Cover Crops,soil organic carbon in soybean (5-15 cm soil depth),4,g/kg,2008,4,0-30 cm,21.4,22,2.8,2,4 years,Single species,Rotation of Cover Crops,0-30 cm,10.2136/sssaj2014.10.0399,Soil response to corn residue removal and cover crops in eastern South Dakota,"Wegner, B.R., Kumar, S., Osborne, S.L., Schumacher, T.E., Vahyala, I.E., & Eynard, A.",Wegner et al.,2015,Soil Science Society of America Journal,79,1179-1187
Cover Crops,soil organic carbon in soybean (5-15 cm soil depth),1,g/kg,2008,4,0-30 cm,21.2,21.4,0.94,2,4 years,Single species,Rotation of Cover Crops,0-30 cm,10.2136/sssaj2014.10.0399,Soil response to corn residue removal and cover crops in eastern South Dakota,"Wegner, B.R., Kumar, S., Osborne, S.L., Schumacher, T.E., Vahyala, I.E., & Eynard, A.",Wegner et al.,2015,Soil Science Society of America Journal,79,1179-1187
Cover Crops,soil organic carbon in soybean (5-15 cm soil depth),2,g/kg,2008,4,0-30 cm,24,23.1,-3.75,2,4 years,Single species,Rotation of Cover Crops,0-30 cm,10.2136/sssaj2014.10.0399,Soil response to corn residue removal and cover crops in eastern South Dakota,"Wegner, B.R., Kumar, S., Osborne, S.L., Schumacher, T.E., Vahyala, I.E., & Eynard, A.",Wegner et al.,2015,Soil Science Society of America Journal,79,1179-1187
Cover Crops,soil organic carbon in soybean (5-15 cm soil depth),3,g/kg,2008,4,0-30 cm,21.1,21,-0.47,2,4 years,Single species,Rotation of Cover Crops,0-30 cm,10.2136/sssaj2014.10.0399,Soil response to corn residue removal and cover crops in eastern South Dakota,"Wegner, B.R., Kumar, S., Osborne, S.L., Schumacher, T.E., Vahyala, I.E., & Eynard, A.",Wegner et al.,2015,Soil Science Society of America Journal,79,1179-1187
Cover Crops,soil organic carbon in soybean (5-15 cm soil depth),4,g/kg,2008,4,0-30 cm,23.3,23.4,0.43,2,4 years,Single species,Rotation of Cover Crops,0-30 cm,10.2136/sssaj2014.10.0399,Soil response to corn residue removal and cover crops in eastern South Dakota,"Wegner, B.R., Kumar, S., Osborne, S.L., Schumacher, T.E., Vahyala, I.E., & Eynard, A.",Wegner et al.,2015,Soil Science Society of America Journal,79,1179-1187
Cover Crops,soil organic carbon (0-10 cm depth),1;2;3;4;5,g/kg,2011,5,0-30 cm,14.25,14.25,0,2,More than 4 years,Single species,Non-legume,0-30 cm,10.2489/jswc.72.3.260,Cereal rye cover crop effects on soil carbon and physical properties in southeaster Indiana,"Rorick, J.D. & Kladivko, E.J.",Rorick & Kladivko,2017,Journal of Soil and Water Conservation,72,260-265
Cover Crops,soil organic carbon (10-20 cm depth),1;2;3;4;5,g/kg,2011,5,0-30 cm,10.02,10.02,0,2,More than 4 years,Single species,Non-legume,0-30 cm,10.2489/jswc.72.3.260,Cereal rye cover crop effects on soil carbon and physical properties in southeaster Indiana,"Rorick, J.D. & Kladivko, E.J.",Rorick & Kladivko,2017,Journal of Soil and Water Conservation,72,260-265
Cover Crops,soil organic carbon (20-40 cm depth),1;2;3;4;5,g/kg,2011,5,0-30 cm,5.06,5.06,0,2,More than 4 years,Single species,Non-legume,0-30 cm,10.2489/jswc.72.3.260,Cereal rye cover crop effects on soil carbon and physical properties in southeaster Indiana,"Rorick, J.D. & Kladivko, E.J.",Rorick & Kladivko,2017,Journal of Soil and Water Conservation,72,260-265
Cover Crops,soil organic carbon (40-60 cm depth),1;2;3;4;5,g/kg,2011,5,0-60 cm,3.1,3.1,0,2,More than 4 years,Single species,Non-legume,0-60 cm,10.2489/jswc.72.3.260,Cereal rye cover crop effects on soil carbon and physical properties in southeaster Indiana,"Rorick, J.D. & Kladivko, E.J.",Rorick & Kladivko,2017,Journal of Soil and Water Conservation,72,260-265
Cover Crops,soil organic carbon,1,g/kg,2008,8,0-30 cm,23.4,25.1,7.26,2,More than 4 years,Single species,Non-legume,0-30 cm,10.2134/agronj2018.03.0204,"Soil organic carbon storage under biofuel cropping systems in a humid, continental climate","Ibrahim, M.A., Chua-Ona, T., Liebman, M., & Thompson",Ibrahim et al.,2018,Agronomy Journal,110,1748-1753
Cover Crops,soil organic carbon,1,g/kg,2008,8,0-30 cm,21.5,18.8,-12.56,2,More than 4 years,Single species,Non-legume,0-30 cm,10.2134/agronj2018.03.0204,"Soil organic carbon storage under biofuel cropping systems in a humid, continental climate","Ibrahim, M.A., Chua-Ona, T., Liebman, M., & Thompson",Ibrahim et al.,2018,Agronomy Journal,110,1748-1753
Cover Crops,soil organic carbon,8,g/kg,2008,8,0-30 cm,24.7,26.1,5.67,2,More than 4 years,Single species,Non-legume,0-30 cm,10.2134/agronj2018.03.0204,"Soil organic carbon storage under biofuel cropping systems in a humid, continental climate","Ibrahim, M.A., Chua-Ona, T., Liebman, M., & Thompson",Ibrahim et al.,2018,Agronomy Journal,110,1748-1753
Cover Crops,soil organic carbon,8,g/kg,2008,8,0-30 cm,20.3,18,-11.33,2,More than 4 years,Single species,Non-legume,0-30 cm,10.2134/agronj2018.03.0204,"Soil organic carbon storage under biofuel cropping systems in a humid, continental climate","Ibrahim, M.A., Chua-Ona, T., Liebman, M., & Thompson",Ibrahim et al.,2018,Agronomy Journal,110,1748-1753
Cover Crops,soil organic carbon after controlling for clay content,1,g/kg,2008,8,0-30 cm,23.9,27.1,13.39,2,More than 4 years,Single species,Non-legume,0-30 cm,10.2134/agronj2018.03.0204,"Soil organic carbon storage under biofuel cropping systems in a humid, continental climate","Ibrahim, M.A., Chua-Ona, T., Liebman, M., & Thompson",Ibrahim et al.,2018,Agronomy Journal,110,1748-1753
Cover Crops,soil organic carbon after controlling for clay content,1,g/kg,2008,8,0-30 cm,20.3,21.6,6.4,2,More than 4 years,Single species,Non-legume,0-30 cm,10.2134/agronj2018.03.0204,"Soil organic carbon storage under biofuel cropping systems in a humid, continental climate","Ibrahim, M.A., Chua-Ona, T., Liebman, M., & Thompson",Ibrahim et al.,2018,Agronomy Journal,110,1748-1753
Cover Crops,soil organic carbon after controlling for clay content,8,g/kg,2008,8,0-30 cm,26,29.1,11.92,2,More than 4 years,Single species,Non-legume,0-30 cm,10.2134/agronj2018.03.0204,"Soil organic carbon storage under biofuel cropping systems in a humid, continental climate","Ibrahim, M.A., Chua-Ona, T., Liebman, M., & Thompson",Ibrahim et al.,2018,Agronomy Journal,110,1748-1753
Cover Crops,soil organic carbon after controlling for clay content,8,g/kg,2008,8,0-30 cm,19.5,22.6,15.9,2,More than 4 years,Single species,Non-legume,0-30 cm,10.2134/agronj2018.03.0204,"Soil organic carbon storage under biofuel cropping systems in a humid, continental climate","Ibrahim, M.A., Chua-Ona, T., Liebman, M., & Thompson",Ibrahim et al.,2018,Agronomy Journal,110,1748-1753
Cover Crops,total carbon,8,Mg C/ha,2005,8,0-30 cm,2434.6,2496.2,2.53,2,More than 4 years,Single species,Non-legume,0-30 cm,10.1016/j.still.2018.02.018,Rye cover crop retains nitrogen and doesn’t reduce corn yields,"Snapp, S., & Surapur, S.",Snapp & Surapur,2018,Soil & Tillage Research,180,107-115
Cover Crops,total carbon,8,Mg C/ha,2005,8,0-30 cm,2311.5,2388.5,3.33,2,More than 4 years,Single species,Non-legume,0-30 cm,10.1016/j.still.2018.02.018,Rye cover crop retains nitrogen and doesn’t reduce corn yields,"Snapp, S., & Surapur, S.",Snapp & Surapur,2018,Soil & Tillage Research,180,107-115
Cover Crops,total carbon,8,Mg C/ha,2005,8,0-30 cm,2192.3,2215.4,1.05,2,More than 4 years,Single species,Non-legume,0-30 cm,10.1016/j.still.2018.02.018,Rye cover crop retains nitrogen and doesn’t reduce corn yields,"Snapp, S., & Surapur, S.",Snapp & Surapur,2018,Soil & Tillage Research,180,107-115
Cover Crops,large particulate organic matter C (POM-C),8,Mg C/ha,2005,8,0-30 cm,154.1,186.8,21.22,2,More than 4 years,Single species,Non-legume,0-30 cm,10.1016/j.still.2018.02.018,Rye cover crop retains nitrogen and doesn’t reduce corn yields,"Snapp, S., & Surapur, S.",Snapp & Surapur,2018,Soil & Tillage Research,180,107-115
Cover Crops,large particulate organic matter C (POM-C),8,Mg C/ha,2005,8,0-30 cm,156.4,227.6,45.52,2,More than 4 years,Single species,Non-legume,0-30 cm,10.1016/j.still.2018.02.018,Rye cover crop retains nitrogen and doesn’t reduce corn yields,"Snapp, S., & Surapur, S.",Snapp & Surapur,2018,Soil & Tillage Research,180,107-115
Cover Crops,large particulate organic matter C (POM-C),8,Mg C/ha,2005,8,0-30 cm,39.7,67.7,70.53,2,More than 4 years,Single species,Non-legume,0-30 cm,10.1016/j.still.2018.02.018,Rye cover crop retains nitrogen and doesn’t reduce corn yields,"Snapp, S., & Surapur, S.",Snapp & Surapur,2018,Soil & Tillage Research,180,107-115
Cover Crops,small particulate organic matter C (POM-C),8,Mg C/ha,2005,8,0-30 cm,190.9,256.7,34.47,2,More than 4 years,Single species,Non-legume,0-30 cm,10.1016/j.still.2018.02.018,Rye cover crop retains nitrogen and doesn’t reduce corn yields,"Snapp, S., & Surapur, S.",Snapp & Surapur,2018,Soil & Tillage Research,180,107-115
Cover Crops,small particulate organic matter C (POM-C),8,Mg C/ha,2005,8,0-30 cm,207,201.3,-2.75,2,More than 4 years,Single species,Non-legume,0-30 cm,10.1016/j.still.2018.02.018,Rye cover crop retains nitrogen and doesn’t reduce corn yields,"Snapp, S., & Surapur, S.",Snapp & Surapur,2018,Soil & Tillage Research,180,107-115
Cover Crops,small particulate organic matter C (POM-C),8,Mg C/ha,2005,8,0-30 cm,243.9,186.9,-23.37,2,More than 4 years,Single species,Non-legume,0-30 cm,10.1016/j.still.2018.02.018,Rye cover crop retains nitrogen and doesn’t reduce corn yields,"Snapp, S., & Surapur, S.",Snapp & Surapur,2018,Soil & Tillage Research,180,107-115
Cover Crops,soil total carbon,2,%,2011,3,0-60 cm,0.87,0.93,0.06,2,3 years,Single species,Non-legume,0-60 cm,10.3390/su11102770,"Tillage, cover crop and crop rotation effects on selected chemical properties","Haruna, S.I., & Nkongolo, N.V.",Haruna & Nkongolo,2019,Sustainability,11(10),2770-2781
Cover Crops,soil total carbon,3,%,2011,3,0-60 cm,8.64,8.63,-0.01,2,3 years,Single species,Non-legume,0-60 cm,10.3390/su11102770,"Tillage, cover crop and crop rotation effects on selected chemical properties","Haruna, S.I., & Nkongolo, N.V.",Haruna & Nkongolo,2019,Sustainability,11(10),2770-2781
Cover Crops,soil organic carbon concentration,6;7,g/kg,2010,8,0-30 cm,24.1,23.2,-3.73,2,More than 4 years,Single species,Non-legume,0-30 cm,10.2136/sssaj2018.06.0225,Cover crops and corn residue removal: Impacts on soil hydraulic properties and their relationships with carbon,"Sindelar, M., Blanco-Canqui, H., Jin, V.L., & Ferguson, R.",Sindelar et al.,2019,Soil Science Society of America Journal,83,221-231
Cover Crops,soil organic carbon concentration,6;7,g/kg,2010,8,0-30 cm,18,21.9,21.67,2,More than 4 years,Single species,Non-legume,0-30 cm,10.2136/sssaj2018.06.0225,Cover crops and corn residue removal: Impacts on soil hydraulic properties and their relationships with carbon,"Sindelar, M., Blanco-Canqui, H., Jin, V.L., & Ferguson, R.",Sindelar et al.,2019,Soil Science Society of America Journal,83,221-231
Cover Crops,soil organic carbon concentration,6;7,g/kg,2010,8,0-30 cm,16.8,16.5,-1.79,2,More than 4 years,Single species,Non-legume,0-30 cm,10.2136/sssaj2018.06.0225,Cover crops and corn residue removal: Impacts on soil hydraulic properties and their relationships with carbon,"Sindelar, M., Blanco-Canqui, H., Jin, V.L., & Ferguson, R.",Sindelar et al.,2019,Soil Science Society of America Journal,83,221-231
Cover Crops,soil organic carbon concentration,6;7,g/kg,2010,8,0-30 cm,15,16.3,8.67,2,More than 4 years,Single species,Non-legume,0-30 cm,10.2136/sssaj2018.06.0225,Cover crops and corn residue removal: Impacts on soil hydraulic properties and their relationships with carbon,"Sindelar, M., Blanco-Canqui, H., Jin, V.L., & Ferguson, R.",Sindelar et al.,2019,Soil Science Society of America Journal,83,221-231
Cover Crops,soil organic carbon concentration,6;7,g/kg,2010,8,0-30 cm,14,14.2,1.43,2,More than 4 years,Single species,Non-legume,0-30 cm,10.2136/sssaj2018.06.0225,Cover crops and corn residue removal: Impacts on soil hydraulic properties and their relationships with carbon,"Sindelar, M., Blanco-Canqui, H., Jin, V.L., & Ferguson, R.",Sindelar et al.,2019,Soil Science Society of America Journal,83,221-231
Cover Crops,soil organic carbon,8,g/kg,2010,8,0-30 cm,25.4,16.7,-34.25,2,More than 4 years,Single species,Non-legume,0-30 cm,10.2136/sssaj2018.06.0239,Do cover crops and corn residue removal affect soil thermal properties?,"Sindelar, M., Blanco-Canqui, H., Jin, V.L., & Ferguson, R.",Sindelar et al.,2019,Soil Science Society of America Journal,83,448-457
Cover Crops,soil organic carbon,8,g/kg,2010,8,0-30 cm,16.7,16.4,-1.8,2,More than 4 years,Single species,Non-legume,0-30 cm,10.2136/sssaj2018.06.0239,Do cover crops and corn residue removal affect soil thermal properties?,"Sindelar, M., Blanco-Canqui, H., Jin, V.L., & Ferguson, R.",Sindelar et al.,2019,Soil Science Society of America Journal,83,448-457
Cover Crops,soil organic carbon,8,g/kg,2010,8,0-30 cm,17.9,22.4,25.14,2,More than 4 years,Single species,Non-legume,0-30 cm,10.2136/sssaj2018.06.0239,Do cover crops and corn residue removal affect soil thermal properties?,"Sindelar, M., Blanco-Canqui, H., Jin, V.L., & Ferguson, R.",Sindelar et al.,2019,Soil Science Society of America Journal,83,448-457
Cover Crops,soil organic carbon,8,g/kg,2010,8,0-30 cm,14.9,15.9,6.71,2,More than 4 years,Single species,Non-legume,0-30 cm,10.2136/sssaj2018.06.0239,Do cover crops and corn residue removal affect soil thermal properties?,"Sindelar, M., Blanco-Canqui, H., Jin, V.L., & Ferguson, R.",Sindelar et al.,2019,Soil Science Society of America Journal,83,448-457
Cover Crops,soil organic carbon concentration,1;2;3;4;5,%,2011,5,0-30 cm,0.83,0.81,-0.02,2,More than 4 years,Single species,Non-legume,0-30 cm,10.2489/jswc.72.3.272,Impact of cover crop on soil carbon accrual in topographically diverse terrain,"Beehler, J., Fry, J., Negassa, W., & Kravchenko, A.",Beehler et al.,2017,Journal of Soil and Water Conservation,72(3),272-279
Cover Crops,soil organic carbon concentration,1;2;3;4;5,%,2011,5,0-30 cm,0.52,0.54,0.02,2,More than 4 years,Single species,Non-legume,0-30 cm,10.2489/jswc.72.3.272,Impact of cover crop on soil carbon accrual in topographically diverse terrain,"Beehler, J., Fry, J., Negassa, W., & Kravchenko, A.",Beehler et al.,2017,Journal of Soil and Water Conservation,72(3),272-279
Cover Crops,soil organic carbon concentration,1;2;3;4;5,%,2011,5,0-30 cm,0.71,0.69,-0.02,2,More than 4 years,Single species,Non-legume,0-30 cm,10.2489/jswc.72.3.272,Impact of cover crop on soil carbon accrual in topographically diverse terrain,"Beehler, J., Fry, J., Negassa, W., & Kravchenko, A.",Beehler et al.,2017,Journal of Soil and Water Conservation,72(3),272-279
Cover Crops,soil organic carbon concentration,1;2;3;4;5,%,2011,5,0-30 cm,0.71,0.71,0,2,More than 4 years,Single species,Non-legume,0-30 cm,10.2489/jswc.72.3.272,Impact of cover crop on soil carbon accrual in topographically diverse terrain,"Beehler, J., Fry, J., Negassa, W., & Kravchenko, A.",Beehler et al.,2017,Journal of Soil and Water Conservation,72(3),272-279
Cover Crops,soil organic carbon concentration,1;2;3;4;5,%,2011,5,0-30 cm,0.51,0.43,-0.08,2,More than 4 years,Single species,Non-legume,0-30 cm,10.2489/jswc.72.3.272,Impact of cover crop on soil carbon accrual in topographically diverse terrain,"Beehler, J., Fry, J., Negassa, W., & Kravchenko, A.",Beehler et al.,2017,Journal of Soil and Water Conservation,72(3),272-279
Cover Crops,soil organic carbon concentration,1;2;3;4;5,%,2011,5,0-30 cm,0.61,0.55,-0.06,2,More than 4 years,Single species,Non-legume,0-30 cm,10.2489/jswc.72.3.272,Impact of cover crop on soil carbon accrual in topographically diverse terrain,"Beehler, J., Fry, J., Negassa, W., & Kravchenko, A.",Beehler et al.,2017,Journal of Soil and Water Conservation,72(3),272-279
Cover Crops,soil organic carbon concentration,1;2;3;4;5,%,2011,5,0-30 cm,0.45,0.44,-0.01,2,More than 4 years,Single species,Non-legume,0-30 cm,10.2489/jswc.72.3.272,Impact of cover crop on soil carbon accrual in topographically diverse terrain,"Beehler, J., Fry, J., Negassa, W., & Kravchenko, A.",Beehler et al.,2017,Journal of Soil and Water Conservation,72(3),272-279
Cover Crops,soil organic carbon concentration,1;2;3;4;5,%,2011,5,0-30 cm,0.39,0.33,-0.06,2,More than 4 years,Single species,Non-legume,0-30 cm,10.2489/jswc.72.3.272,Impact of cover crop on soil carbon accrual in topographically diverse terrain,"Beehler, J., Fry, J., Negassa, W., & Kravchenko, A.",Beehler et al.,2017,Journal of Soil and Water Conservation,72(3),272-279
Cover Crops,soil organic carbon concentration,1;2;3;4;5,%,2011,5,0-30 cm,0.39,0.37,-0.02,2,More than 4 years,Single species,Non-legume,0-30 cm,10.2489/jswc.72.3.272,Impact of cover crop on soil carbon accrual in topographically diverse terrain,"Beehler, J., Fry, J., Negassa, W., & Kravchenko, A.",Beehler et al.,2017,Journal of Soil and Water Conservation,72(3),272-279
Cover Crops,soil organic carbon concentration,1;2;3;4;5,%,2011,5,0-60 cm,0.3,0.24,-0.06,2,More than 4 years,Single species,Non-legume,0-60 cm,10.2489/jswc.72.3.272,Impact of cover crop on soil carbon accrual in topographically diverse terrain,"Beehler, J., Fry, J., Negassa, W., & Kravchenko, A.",Beehler et al.,2017,Journal of Soil and Water Conservation,72(3),272-279
Cover Crops,soil organic carbon concentration,1;2;3;4;5,%,2011,5,0-60 cm,0.25,0.17,-0.08,2,More than 4 years,Single species,Non-legume,0-60 cm,10.2489/jswc.72.3.272,Impact of cover crop on soil carbon accrual in topographically diverse terrain,"Beehler, J., Fry, J., Negassa, W., & Kravchenko, A.",Beehler et al.,2017,Journal of Soil and Water Conservation,72(3),272-279
Cover Crops,soil organic carbon concentration,1;2;3;4;5,%,2011,5,0-60 cm,0.21,0.2,-0.01,2,More than 4 years,Single species,Non-legume,0-60 cm,10.2489/jswc.72.3.272,Impact of cover crop on soil carbon accrual in topographically diverse terrain,"Beehler, J., Fry, J., Negassa, W., & Kravchenko, A.",Beehler et al.,2017,Journal of Soil and Water Conservation,72(3),272-279
Cover Crops,soil organic carbon concentration,1;2;3;4;5,%,2011,5,0-30 cm,0.99,1.09,0.1,2,More than 4 years,Single species,Non-legume,0-30 cm,10.2489/jswc.72.3.272,Impact of cover crop on soil carbon accrual in topographically diverse terrain,"Beehler, J., Fry, J., Negassa, W., & Kravchenko, A.",Beehler et al.,2017,Journal of Soil and Water Conservation,72(3),272-279
Cover Crops,soil organic carbon concentration,1;2;3;4;5,%,2011,5,0-30 cm,0.74,0.79,0.05,2,More than 4 years,Single species,Non-legume,0-30 cm,10.2489/jswc.72.3.272,Impact of cover crop on soil carbon accrual in topographically diverse terrain,"Beehler, J., Fry, J., Negassa, W., & Kravchenko, A.",Beehler et al.,2017,Journal of Soil and Water Conservation,72(3),272-279
Cover Crops,soil organic carbon concentration,1;2;3;4;5,%,2011,5,0-30 cm,0.76,0.76,0,2,More than 4 years,Single species,Non-legume,0-30 cm,10.2489/jswc.72.3.272,Impact of cover crop on soil carbon accrual in topographically diverse terrain,"Beehler, J., Fry, J., Negassa, W., & Kravchenko, A.",Beehler et al.,2017,Journal of Soil and Water Conservation,72(3),272-279
Cover Crops,soil organic carbon concentration,1;2;3;4;5,%,2011,5,0-30 cm,0.8,0.93,0.13,2,More than 4 years,Single species,Non-legume,0-30 cm,10.2489/jswc.72.3.272,Impact of cover crop on soil carbon accrual in topographically diverse terrain,"Beehler, J., Fry, J., Negassa, W., & Kravchenko, A.",Beehler et al.,2017,Journal of Soil and Water Conservation,72(3),272-279
Cover Crops,soil organic carbon concentration,1;2;3;4;5,%,2011,5,0-30 cm,0.54,0.56,0.02,2,More than 4 years,Single species,Non-legume,0-30 cm,10.2489/jswc.72.3.272,Impact of cover crop on soil carbon accrual in topographically diverse terrain,"Beehler, J., Fry, J., Negassa, W., & Kravchenko, A.",Beehler et al.,2017,Journal of Soil and Water Conservation,72(3),272-279
Cover Crops,soil organic carbon concentration,1;2;3;4;5,%,2011,5,0-30 cm,0.58,0.59,0.01,2,More than 4 years,Single species,Non-legume,0-30 cm,10.2489/jswc.72.3.272,Impact of cover crop on soil carbon accrual in topographically diverse terrain,"Beehler, J., Fry, J., Negassa, W., & Kravchenko, A.",Beehler et al.,2017,Journal of Soil and Water Conservation,72(3),272-279
Cover Crops,soil organic carbon concentration,1;2;3;4;5,%,2011,5,0-30 cm,0.5,0.42,-0.08,2,More than 4 years,Single species,Non-legume,0-30 cm,10.2489/jswc.72.3.272,Impact of cover crop on soil carbon accrual in topographically diverse terrain,"Beehler, J., Fry, J., Negassa, W., & Kravchenko, A.",Beehler et al.,2017,Journal of Soil and Water Conservation,72(3),272-279
Cover Crops,soil organic carbon concentration,1;2;3;4;5,%,2011,5,0-30 cm,0.34,0.42,0.08,2,More than 4 years,Single species,Non-legume,0-30 cm,10.2489/jswc.72.3.272,Impact of cover crop on soil carbon accrual in topographically diverse terrain,"Beehler, J., Fry, J., Negassa, W., & Kravchenko, A.",Beehler et al.,2017,Journal of Soil and Water Conservation,72(3),272-279
Cover Crops,soil organic carbon concentration,1;2;3;4;5,%,2011,5,0-30 cm,0.27,0.35,0.08,2,More than 4 years,Single species,Non-legume,0-30 cm,10.2489/jswc.72.3.272,Impact of cover crop on soil carbon accrual in topographically diverse terrain,"Beehler, J., Fry, J., Negassa, W., & Kravchenko, A.",Beehler et al.,2017,Journal of Soil and Water Conservation,72(3),272-279
Cover Crops,soil organic carbon concentration,1;2;3;4;5,%,2011,5,0-60 cm,0.17,0.3,0.13,2,More than 4 years,Single species,Non-legume,0-60 cm,10.2489/jswc.72.3.272,Impact of cover crop on soil carbon accrual in topographically diverse terrain,"Beehler, J., Fry, J., Negassa, W., & Kravchenko, A.",Beehler et al.,2017,Journal of Soil and Water Conservation,72(3),272-279
