d_um,pore_cat,site_sys,cc_trt,rep_id,pct
789.4736842105262,Macropores (>30 um),East-grain,No Cover,East 1,0.2203652120086658
300,Macropores (>30 um),East-grain,No Cover,East 1,0.07273290003095084
120,Macropores (>30 um),East-grain,No Cover,East 1,0.2361497988238932
60,Macropores (>30 um),East-grain,No Cover,East 1,0.09532652429588438
30,Micropores (<30 um),East-grain,No Cover,East 1,0.1262766945218191
15,Micropores (<30 um),East-grain,No Cover,East 1,0.14484679665738223
5.999999999999999,Micropores (<30 um),East-grain,No Cover,East 1,0.10430207366140444
789.4736842105262,Macropores (>30 um),East-grain,No Cover,East 2,0.25432098765432126
300,Macropores (>30 um),East-grain,No Cover,East 2,0.14979423868312766
120,Macropores (>30 um),East-grain,No Cover,East 2,0.3083676268861458
60,Macropores (>30 um),East-grain,No Cover,East 2,0.08641975308641948
30,Micropores (<30 um),East-grain,No Cover,East 2,0.084224965706447
15,Micropores (<30 um),East-grain,No Cover,East 2,0.1075445816186557
5.999999999999999,Micropores (<30 um),East-grain,No Cover,East 2,0.009327846364883168
789.4736842105262,Macropores (>30 um),East-grain,No Cover,East 3,0.20291448996425593
300,Macropores (>30 um),East-grain,No Cover,East 3,0.12455320318944185
120,Macropores (>30 um),East-grain,No Cover,East 3,0.29584822656035187
60,Macropores (>30 um),East-grain,No Cover,East 3,0.09623315919714034
30,Micropores (<30 um),East-grain,No Cover,East 3,0.0896343139950515
15,Micropores (<30 um),East-grain,No Cover,East 3,0.10778113830079689
5.999999999999999,Micropores (<30 um),East-grain,No Cover,East 3,0.08303546879296159
789.4736842105262,Macropores (>30 um),East-grain,No Cover,East 4,0.23336271485235813
300,Macropores (>30 um),East-grain,No Cover,East 4,0.12979286029087755
120,Macropores (>30 um),East-grain,No Cover,East 4,0.28272366681357386
60,Macropores (>30 um),East-grain,No Cover,East 4,0.10070515645658856
30,Micropores (<30 um),East-grain,No Cover,East 4,0.10180696342000901
15,Micropores (<30 um),East-grain,No Cover,East 4,0.1200969590127804
5.999999999999999,Micropores (<30 um),East-grain,No Cover,East 4,0.031511679153812464
789.4736842105262,Macropores (>30 um),East-grain,Cover Crop,East 1,0.2207121500407723
300,Macropores (>30 um),East-grain,Cover Crop,East 1,0.15411796683881415
120,Macropores (>30 um),East-grain,Cover Crop,East 1,0.2538733351454196
60,Macropores (>30 um),East-grain,Cover Crop,East 1,0.07502038597444999
30,Micropores (<30 um),East-grain,Cover Crop,East 1,0.10138624626257155
15,Micropores (<30 um),East-grain,Cover Crop,East 1,0.1212285947268282
5.999999999999999,Micropores (<30 um),East-grain,Cover Crop,East 1,0.0736613210111442
789.4736842105262,Macropores (>30 um),East-grain,Cover Crop,East 2,0.3784643343934577
300,Macropores (>30 um),East-grain,Cover Crop,East 2,0.13312130849613832
120,Macropores (>30 um),East-grain,Cover Crop,East 2,0.2559442677570796
60,Macropores (>30 um),East-grain,Cover Crop,East 2,0.08405270331667447
30,Micropores (<30 um),East-grain,Cover Crop,East 2,0.05497501135847329
15,Micropores (<30 um),East-grain,Cover Crop,East 2,0.058912615477813214
5.999999999999999,Micropores (<30 um),East-grain,Cover Crop,East 2,0.03452975920036345
789.4736842105262,Macropores (>30 um),East-grain,Cover Crop,East 3,0.14660568127106424
300,Macropores (>30 um),East-grain,Cover Crop,East 3,0.18319691863264295
120,Macropores (>30 um),East-grain,Cover Crop,East 3,0.2922484352431398
60,Macropores (>30 um),East-grain,Cover Crop,East 3,0.0991815117958586
30,Micropores (<30 um),East-grain,Cover Crop,East 3,0.0878671160327399
15,Micropores (<30 um),East-grain,Cover Crop,East 3,0.11097737120847417
5.999999999999999,Micropores (<30 um),East-grain,Cover Crop,East 3,0.07992296581608035
789.4736842105262,Macropores (>30 um),East-grain,Cover Crop,East 4,0.20205956025605304
300,Macropores (>30 um),East-grain,Cover Crop,East 4,0.11299749512941869
120,Macropores (>30 um),East-grain,Cover Crop,East 4,0.25633175619259635
60,Macropores (>30 um),East-grain,Cover Crop,East 4,0.0951850821040918
30,Micropores (<30 um),East-grain,Cover Crop,East 4,0.10269969384915074
15,Micropores (<30 um),East-grain,Cover Crop,East 4,0.1358196493181187
5.999999999999999,Micropores (<30 um),East-grain,Cover Crop,East 4,0.09490676315057074
789.4736842105262,Macropores (>30 um),East-grain,No Cover,East 5,0.1900091939932573
300,Macropores (>30 um),East-grain,No Cover,East 5,0.15016855654305888
120,Macropores (>30 um),East-grain,No Cover,East 5,0.24854428440085805
60,Macropores (>30 um),East-grain,No Cover,East 5,0.08090714066809672
30,Micropores (<30 um),East-grain,No Cover,East 5,0.09469813055470427
15,Micropores (<30 um),East-grain,No Cover,East 5,0.1296353049341097
5.999999999999999,Micropores (<30 um),East-grain,No Cover,East 5,0.10603738890591506
789.4736842105262,Macropores (>30 um),West-grain,Cover Crop,West 1,0.13446829509005648
300,Macropores (>30 um),West-grain,Cover Crop,West 1,0.060202319269677014
120,Macropores (>30 um),West-grain,Cover Crop,West 1,0.025413274117937455
60,Macropores (>30 um),West-grain,Cover Crop,West 1,0.1371823340735258
30,Micropores (<30 um),West-grain,Cover Crop,West 1,0.20133234641006625
15,Micropores (<30 um),West-grain,Cover Crop,West 1,0.2783123612139156
5.999999999999999,Micropores (<30 um),West-grain,Cover Crop,West 1,0.16308906982482138
789.4736842105262,Macropores (>30 um),West-grain,No Cover,West 3,0.15279562982005174
300,Macropores (>30 um),West-grain,No Cover,West 3,0.14893958868894586
120,Macropores (>30 um),West-grain,No Cover,West 3,0.19167737789203096
60,Macropores (>30 um),West-grain,No Cover,West 3,0.13929948586118227
30,Micropores (<30 um),West-grain,No Cover,West 3,0.1505462724935731
15,Micropores (<30 um),West-grain,No Cover,West 3,0.1879820051413883
5.999999999999999,Micropores (<30 um),West-grain,No Cover,West 3,0.028759640102827836
789.4736842105262,Macropores (>30 um),West-grain,Cover Crop,West 3,0.17673086933888593
300,Macropores (>30 um),West-grain,Cover Crop,West 3,0.06871421134825599
120,Macropores (>30 um),West-grain,Cover Crop,West 3,0.11478396668401918
60,Macropores (>30 um),West-grain,Cover Crop,West 3,0.0760020822488281
30,Micropores (<30 um),West-grain,Cover Crop,West 3,0.1402915148360235
15,Micropores (<30 um),West-grain,Cover Crop,West 3,0.26808953669963526
5.999999999999999,Micropores (<30 um),West-grain,Cover Crop,West 3,0.15538781884435204
789.4736842105262,Macropores (>30 um),West-grain,No Cover,West 1,0.14398422090729823
300,Macropores (>30 um),West-grain,No Cover,West 1,0.04240631163708084
120,Macropores (>30 um),West-grain,No Cover,West 1,0.1634615384615383
60,Macropores (>30 um),West-grain,No Cover,West 1,0.13979289940828385
30,Micropores (<30 um),West-grain,No Cover,West 1,0.21351084812623292
15,Micropores (<30 um),West-grain,No Cover,West 1,0.2729289940828397
5.999999999999999,Micropores (<30 um),West-grain,No Cover,West 1,0.023915187376726134
789.4736842105262,Macropores (>30 um),West-grain,No Cover,West 2,0.11367127496159751
300,Macropores (>30 um),West-grain,No Cover,West 2,0.12211981566820258
120,Macropores (>30 um),West-grain,No Cover,West 2,0.21774193548387086
60,Macropores (>30 um),West-grain,No Cover,West 2,0.15072964669738886
30,Micropores (<30 um),West-grain,No Cover,West 2,0.16839477726574512
15,Micropores (<30 um),West-grain,No Cover,West 2,0.20410906298003062
5.999999999999999,Micropores (<30 um),West-grain,No Cover,West 2,0.023233486943164423
789.4736842105262,Macropores (>30 um),West-grain,Cover Crop,West 2,0.12290836653386422
300,Macropores (>30 um),West-grain,Cover Crop,West 2,0.06713147410358598
120,Macropores (>30 um),West-grain,Cover Crop,West 2,0.14342629482071728
60,Macropores (>30 um),West-grain,Cover Crop,West 2,0.16892430278884457
30,Micropores (<30 um),West-grain,Cover Crop,West 2,0.17031872509960203
15,Micropores (<30 um),West-grain,Cover Crop,West 2,0.18446215139442196
5.999999999999999,Micropores (<30 um),West-grain,Cover Crop,West 2,0.142828685258964
789.4736842105262,Macropores (>30 um),West-grain,Cover Crop,West 4,0.06804308797127537
300,Macropores (>30 um),West-grain,Cover Crop,West 4,0.15673249551166912
120,Macropores (>30 um),West-grain,Cover Crop,West 4,0.2728904847396769
60,Macropores (>30 um),West-grain,Cover Crop,West 4,0.13824057450628302
30,Micropores (<30 um),West-grain,Cover Crop,West 4,0.11220825852782784
15,Micropores (<30 um),West-grain,Cover Crop,West 4,0.15816876122082557
5.999999999999999,Micropores (<30 um),West-grain,Cover Crop,West 4,0.09371633752244213
789.4736842105262,Macropores (>30 um),West-grain,No Cover,West 4,0.2340402273721034
300,Macropores (>30 um),West-grain,No Cover,West 4,0.13937472671622197
120,Macropores (>30 um),West-grain,No Cover,West 4,0.22376475732400528
60,Macropores (>30 um),West-grain,No Cover,West 4,0.11521644075207685
30,Micropores (<30 um),West-grain,No Cover,West 4,0.09543069523393093
15,Micropores (<30 um),West-grain,No Cover,West 4,0.12581985133362467
5.999999999999999,Micropores (<30 um),West-grain,No Cover,West 4,0.06635330126803697
789.4736842105262,Macropores (>30 um),Central-grain,No Cover,Central42 4,0.11532941943900868
300,Macropores (>30 um),Central-grain,No Cover,Central42 4,0.07175472928897579
120,Macropores (>30 um),Central-grain,No Cover,Central42 4,0.2941943900848011
60,Macropores (>30 um),Central-grain,No Cover,Central42 4,0.19556425309849962
30,Micropores (<30 um),Central-grain,No Cover,Central42 4,0.16738421395955622
15,Micropores (<30 um),Central-grain,No Cover,Central42 4,0.14885844748858476
5.999999999999999,Micropores (<30 um),Central-grain,No Cover,Central42 4,0.006914546640573802
789.4736842105262,Macropores (>30 um),Central-grain,No Cover,Central42 1,0.09670501072333787
300,Macropores (>30 um),Central-grain,No Cover,Central42 1,0.10274907389354603
120,Macropores (>30 um),Central-grain,No Cover,Central42 1,0.1976993565997275
60,Macropores (>30 um),Central-grain,No Cover,Central42 1,0.1358939364398513
30,Micropores (<30 um),Central-grain,No Cover,Central42 1,0.20920257360109254
15,Micropores (<30 um),Central-grain,No Cover,Central42 1,0.2158315461103531
5.999999999999999,Micropores (<30 um),Central-grain,No Cover,Central42 1,0.04191850263209166
789.4736842105262,Macropores (>30 um),Central-grain,Cover Crop,Central42 1,0.16999847398138274
300,Macropores (>30 um),Central-grain,Cover Crop,Central42 1,0.12955898061956334
120,Macropores (>30 um),Central-grain,Cover Crop,Central42 1,0.24797802533190916
60,Macropores (>30 um),Central-grain,Cover Crop,Central42 1,0.16999847398138246
30,Micropores (<30 um),Central-grain,Cover Crop,Central42 1,0.12650694338470936
15,Micropores (<30 um),Central-grain,Cover Crop,Central42 1,0.13077979551350502
5.999999999999999,Micropores (<30 um),Central-grain,Cover Crop,Central42 1,0.025179307187547913
789.4736842105262,Macropores (>30 um),Central-grain,No Cover,Central42 2,0.12750765045902768
300,Macropores (>30 um),Central-grain,No Cover,Central42 2,0.09146548792927585
120,Macropores (>30 um),Central-grain,No Cover,Central42 2,0.2189731383883035
60,Macropores (>30 um),Central-grain,No Cover,Central42 2,0.16933015980958765
30,Micropores (<30 um),Central-grain,No Cover,Central42 2,0.17715062903774292
15,Micropores (<30 um),Central-grain,No Cover,Central42 2,0.17562053723223348
5.999999999999999,Micropores (<30 um),Central-grain,No Cover,Central42 2,0.039952397143828984
789.4736842105262,Macropores (>30 um),Central-grain,Cover Crop,Central42 3,0.102076426452626
300,Macropores (>30 um),Central-grain,Cover Crop,Central42 3,0.022334671087070455
120,Macropores (>30 um),Central-grain,Cover Crop,Central42 3,0.3121619263653812
60,Macropores (>30 um),Central-grain,Cover Crop,Central42 3,0.12650497295410937
30,Micropores (<30 um),Central-grain,Cover Crop,Central42 3,0.1821671610539171
15,Micropores (<30 um),Central-grain,Cover Crop,Central42 3,0.20083755016576516
5.999999999999999,Micropores (<30 um),Central-grain,Cover Crop,Central42 3,0.05391729192113065
789.4736842105262,Macropores (>30 um),Central-grain,No Cover,Central42 3,0.05834552250934538
300,Macropores (>30 um),Central-grain,No Cover,Central42 3,0.08841215667154202
120,Macropores (>30 um),Central-grain,No Cover,Central42 3,0.27937591418820074
60,Macropores (>30 um),Central-grain,No Cover,Central42 3,0.18803835527385038
30,Micropores (<30 um),Central-grain,No Cover,Central42 3,0.19405168210628965
15,Micropores (<30 um),Central-grain,No Cover,Central42 3,0.17227368763204942
5.999999999999999,Micropores (<30 um),Central-grain,No Cover,Central42 3,0.019502681618722442
789.4736842105262,Macropores (>30 um),Central-grain,Cover Crop,Central42 2,0.07825403067243401
300,Macropores (>30 um),Central-grain,Cover Crop,Central42 2,0.16948486040110156
120,Macropores (>30 um),Central-grain,Cover Crop,Central42 2,0.24125049154541806
60,Macropores (>30 um),Central-grain,Cover Crop,Central42 2,0.17656311443177392
30,Micropores (<30 um),Central-grain,Cover Crop,Central42 2,0.1525756979944948
15,Micropores (<30 um),Central-grain,Cover Crop,Central42 2,0.13920566260322423
5.999999999999999,Micropores (<30 um),Central-grain,Cover Crop,Central42 2,0.042666142351553374
789.4736842105262,Macropores (>30 um),Central-grain,Cover Crop,Central42 4,0.1345646437994726
300,Macropores (>30 um),Central-grain,Cover Crop,Central42 4,0.08340662562298447
120,Macropores (>30 um),Central-grain,Cover Crop,Central42 4,0.2450894165933741
60,Macropores (>30 um),Central-grain,Cover Crop,Central42 4,0.17604807974201092
30,Micropores (<30 um),Central-grain,Cover Crop,Central42 4,0.17883318674875426
15,Micropores (<30 um),Central-grain,Cover Crop,Central42 4,0.169891527411316
5.999999999999999,Micropores (<30 um),Central-grain,Cover Crop,Central42 4,0.0121665200820877
789.4736842105262,Macropores (>30 um),Central-grain,No Cover,Central42 5,0.1225207130303787
300,Macropores (>30 um),Central-grain,No Cover,Central42 5,0.1742405222194327
120,Macropores (>30 um),Central-grain,No Cover,Central42 5,0.2170474516695962
60,Macropores (>30 um),Central-grain,No Cover,Central42 5,0.14499121265377843
30,Micropores (<30 um),Central-grain,No Cover,Central42 5,0.15252322370072804
15,Micropores (<30 um),Central-grain,No Cover,Central42 5,0.17260858649259342
5.999999999999999,Micropores (<30 um),Central-grain,No Cover,Central42 5,0.016068290233492443
789.4736842105262,Macropores (>30 um),Central-grain,Cover Crop,Central42 5,0.05754015823543521
300,Macropores (>30 um),Central-grain,Cover Crop,Central42 5,0.011028530328458318
120,Macropores (>30 um),Central-grain,Cover Crop,Central42 5,0.14888515943418865
60,Macropores (>30 um),Central-grain,Cover Crop,Central42 5,0.14193239031407334
30,Micropores (<30 um),Central-grain,Cover Crop,Central42 5,0.2649244785423156
15,Micropores (<30 um),Central-grain,Cover Crop,Central42 5,0.27715176216734594
5.999999999999999,Micropores (<30 um),Central-grain,Cover Crop,Central42 5,0.09853752097818291
789.4736842105262,Macropores (>30 um),Central-silage,No Cover,Central42 1,0.22115543784141695
300,Macropores (>30 um),Central-silage,No Cover,Central42 1,0.04734315510677039
120,Macropores (>30 um),Central-silage,No Cover,Central42 1,0.29150802847210755
60,Macropores (>30 um),Central-silage,No Cover,Central42 1,0.1628869392484688
30,Micropores (<30 um),Central-silage,No Cover,Central42 1,0.08806488991888718
15,Micropores (<30 um),Central-silage,No Cover,Central42 1,0.18904154941234913
5.999999999999999,Micropores (<30 um),Central-silage,No Cover,Central42 1,0
789.4736842105262,Macropores (>30 um),Central-silage,No Cover,Central42 2,0.15206611570247913
300,Macropores (>30 um),Central-silage,No Cover,Central42 2,0.050909090909090994
120,Macropores (>30 um),Central-silage,No Cover,Central42 2,0.20181818181818162
60,Macropores (>30 um),Central-silage,No Cover,Central42 2,0.15421487603305792
30,Micropores (<30 um),Central-silage,No Cover,Central42 2,0.10000000000000028
15,Micropores (<30 um),Central-silage,No Cover,Central42 2,0.19041322314049575
5.999999999999999,Micropores (<30 um),Central-silage,No Cover,Central42 2,0.1505785123966942
789.4736842105262,Macropores (>30 um),Central-silage,No Cover,Central42 3,0.15723516741727062
300,Macropores (>30 um),Central-silage,No Cover,Central42 3,0.0589387115723513
120,Macropores (>30 um),Central-silage,No Cover,Central42 3,0.16878793812414342
60,Macropores (>30 um),Central-silage,No Cover,Central42 3,0.1349128646955158
30,Micropores (<30 um),Central-silage,No Cover,Central42 3,0.09340121401997276
15,Micropores (<30 um),Central-silage,No Cover,Central42 3,0.23849618171137635
5.999999999999999,Micropores (<30 um),Central-silage,No Cover,Central42 3,0.14822792245936978
789.4736842105262,Macropores (>30 um),Central-silage,No Cover,Central42 4,0.0948843491473918
300,Macropores (>30 um),Central-silage,No Cover,Central42 4,0.049468174911362545
120,Macropores (>30 um),Central-silage,No Cover,Central42 4,0.20344420057403334
60,Macropores (>30 um),Central-silage,No Cover,Central42 4,0.21256120209353377
30,Micropores (<30 um),Central-silage,No Cover,Central42 4,0.13405368900894787
15,Micropores (<30 um),Central-silage,No Cover,Central42 4,0.20344420057403365
5.999999999999999,Micropores (<30 um),Central-silage,No Cover,Central42 4,0.10214418369069692
789.4736842105262,Macropores (>30 um),Central-silage,Cover Crop,Central42 1,0.13118856121537123
300,Macropores (>30 um),Central-silage,Cover Crop,Central42 1,0.009472743521000915
120,Macropores (>30 um),Central-silage,Cover Crop,Central42 1,0.21537086684539766
60,Macropores (>30 um),Central-silage,Cover Crop,Central42 1,0.16943699731903467
30,Micropores (<30 um),Central-silage,Cover Crop,Central42 1,0.10616621983914187
15,Micropores (<30 um),Central-silage,Cover Crop,Central42 1,0.21143878462913338
5.999999999999999,Micropores (<30 um),Central-silage,Cover Crop,Central42 1,0.15692582663092017
789.4736842105262,Macropores (>30 um),Central-silage,Cover Crop,Central42 2,0.10684013404297252
300,Macropores (>30 um),Central-silage,Cover Crop,Central42 2,0.08594520007884945
120,Macropores (>30 um),Central-silage,Cover Crop,Central42 2,0.1935738221959385
60,Macropores (>30 um),Central-silage,Cover Crop,Central42 2,0.15828898087916482
30,Micropores (<30 um),Central-silage,Cover Crop,Central42 2,0.11689335698797543
15,Micropores (<30 um),Central-silage,Cover Crop,Central42 2,0.2485708653656616
5.999999999999999,Micropores (<30 um),Central-silage,Cover Crop,Central42 2,0.08988764044943774
789.4736842105262,Macropores (>30 um),Central-silage,Cover Crop,Central42 4,0.06982845610494419
300,Macropores (>30 um),Central-silage,Cover Crop,Central42 4,0.06276488395560043
120,Macropores (>30 um),Central-silage,Cover Crop,Central42 4,0.3079717457114033
60,Macropores (>30 um),Central-silage,Cover Crop,Central42 4,0.20080726538849591
30,Micropores (<30 um),Central-silage,Cover Crop,Central42 4,0.09283551967709351
15,Micropores (<30 um),Central-silage,Cover Crop,Central42 4,0.1905146316851672
5.999999999999999,Micropores (<30 um),Central-silage,Cover Crop,Central42 4,0.0752774974772955
789.4736842105262,Macropores (>30 um),Central-silage,Cover Crop,Central42 5,0.16768665850673192
300,Macropores (>30 um),Central-silage,Cover Crop,Central42 5,0.031124322433992168
120,Macropores (>30 um),Central-silage,Cover Crop,Central42 5,0.16751180276272015
60,Macropores (>30 um),Central-silage,Cover Crop,Central42 5,0.15964329428221752
30,Micropores (<30 um),Central-silage,Cover Crop,Central42 5,0.10141633152649088
15,Micropores (<30 um),Central-silage,Cover Crop,Central42 5,0.2066794894212274
5.999999999999999,Micropores (<30 um),Central-silage,Cover Crop,Central42 5,0.16593810106662
789.4736842105262,Macropores (>30 um),Central-silage,Cover Crop,Central42 3,0.0443288241415196
300,Macropores (>30 um),Central-silage,Cover Crop,Central42 3,0
120,Macropores (>30 um),Central-silage,Cover Crop,Central42 3,0.23371488033298582
60,Macropores (>30 um),Central-silage,Cover Crop,Central42 3,0.159833506763788
30,Micropores (<30 um),Central-silage,Cover Crop,Central42 3,0.1236212278876168
15,Micropores (<30 um),Central-silage,Cover Crop,Central42 3,0.2672216441207083
5.999999999999999,Micropores (<30 um),Central-silage,Cover Crop,Central42 3,0.17127991675338144
